estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
19/11/2018;24,0;sim;27,5;sim;31,0;sim;2,15;não;;;;não;;não;;;;;;;;;;;
18/11/2018;24,0;sim;27,5;sim;31,0;sim;20,65;não;;;;não;;não;;;;;;;;;;;
17/11/2018;24,0;sim;28,5;sim;33,0;sim;1,63;não;;;;não;;não;;;;;;;;;;;
16/11/2018;23,0;sim;27,0;sim;31,0;sim;5,23;não;;;;não;;não;;;;;;;;;;;
15/11/2018;24,0;sim;28,5;sim;33,0;sim;1,8;não;;;;não;;não;;;;;;;;;;;
14/11/2018;23,0;sim;28,5;sim;34,0;sim;7,58;não;;;;não;;não;;;;;;;;;;;
13/11/2018;24,0;sim;28,5;sim;33,0;sim;0,73;não;;;;não;;não;;;;;;;;;;;
12/11/2018;23,0;sim;28,0;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
11/11/2018;23,0;sim;28,0;sim;33,0;sim;0,23;não;;;;não;;não;;;;;;;;;;;
10/11/2018;23,0;sim;27,5;sim;32,0;sim;3,8;não;;;;não;;não;;;;;;;;;;;
09/11/2018;23,0;sim;26,5;sim;30,0;sim;0,78;não;;;;não;;não;;;;;;;;;;;
08/11/2018;23,0;sim;27,0;sim;31,0;sim;6,93;não;;;;não;;não;;;;;;;;;;;
07/11/2018;23,0;sim;27,0;sim;31,0;sim;0,18;não;;;;não;;não;;;;;;;;;;;
05/11/2018;23,0;sim;27,0;sim;31,0;sim;1,35;não;;;;não;;não;;;;;;;;;;;
04/11/2018;23,0;sim;27,0;sim;31,0;sim;0,93;não;;;;não;;não;;;;;;;;;;;
02/11/2018;23,0;sim;29,0;sim;35,0;sim;7,15;não;;;;não;;não;;;;;;;;;;;
31/10/2018;24,0;sim;30,0;sim;36,0;sim;1,43;não;;;;não;;não;;;;;;;;;;;
30/10/2018;23,0;sim;27,5;sim;32,0;sim;0,33;não;;;;não;;não;;;;;;;;;;;
29/10/2018;23,0;sim;27,0;sim;31,0;sim;4,23;não;;;;não;;não;;;;;;;;;;;
28/10/2018;25,0;sim;30,5;sim;36,0;sim;0,1;não;;;;não;;não;;;;;;;;;;;
27/10/2018;23,0;sim;29,5;sim;36,0;sim;1,35;não;;;;não;;não;;;;;;;;;;;
25/10/2018;22,0;sim;27,5;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
24/10/2018;23,0;sim;27,0;sim;31,0;sim;22,3;não;;;;não;;não;;;;;;;;;;;
23/10/2018;24,0;sim;29,0;sim;34,0;sim;6,98;não;;;;não;;não;;;;;;;;;;;
19/10/2018;23,0;sim;28,0;sim;33,0;sim;2,0;não;;;;não;;não;;;;;;;;;;;
18/10/2018;24,0;sim;29,0;sim;34,0;sim;1,5;não;;;;não;;não;;;;;;;;;;;
17/10/2018;24,0;sim;30,0;sim;36,0;sim;0,05;não;;;;não;;não;;;;;;;;;;;
16/10/2018;24,0;sim;30,0;sim;36,0;sim;0,03;não;;;;não;;não;;;;;;;;;;;
15/10/2018;23,0;sim;28,5;sim;34,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
14/10/2018;24,0;sim;28,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
13/10/2018;23,0;sim;28,0;sim;33,0;sim;0,25;não;;;;não;;não;;;;;;;;;;;
